,rank,title,fullTitle,year,crew,imDbRating,imDbRating
66,67,American Beauty,American Beauty (1999),1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3,8.3
67,68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.3,8.3
68,69,The Dark Knight Rises,The Dark Knight Rises (2012),2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.3,8.3
69,70,Oldboy,Oldboy (2003),2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",8.3,8.3
70,71,Inglourious Basterds,Inglourious Basterds (2009),2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3,8.3
71,72,Amadeus,Amadeus (1984),1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3,8.3
72,73,Coco,Coco (2017),2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.3,8.3
73,74,Toy Story,Toy Story (1995),1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.3,8.3
74,75,Joker,Joker (2019),2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.3,8.3
75,76,Braveheart,Braveheart (1995),1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,8.3
76,77,The Boat,The Boat (1981),1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,8.3
77,78,Avengers: Endgame,Avengers: Endgame (2019),2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.3,8.3
78,79,Princess Mononoke,Princess Mononoke (1997),1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.3,8.3
79,80,Once Upon a Time in America,Once Upon a Time in America (1984),1984,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3,8.3
80,81,Good Will Hunting,Good Will Hunting (1997),1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3,8.3
81,82,Your Name.,Your Name. (2016),2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,8.3
82,83,3 Idiots,3 Idiots (2009),2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,8.3
83,84,Singin' in the Rain,Singin' in the Rain (1952),1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.3,8.3
84,85,Requiem for a Dream,Requiem for a Dream (2000),2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3,8.3
85,86,Toy Story 3,Toy Story 3 (2010),2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.3,8.3
